,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,OverallQual,OverallCond,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalFinishedBsmtSF,TotalFinishedBsmtSF_BsmtQual_Interaction,TotalFullBaths,TotalHalfBaths,HouseAge,YearsSinceRemodel,TotalPorchArea
10,20,3,70.0,11200,1,0,3,3,1,2,2,Sawyer,5,5,2,0.0,3,3,3,3,0.0,2.0,0,134,1040,6,5,1,5,1040,0,0,1040,3,1,3,5,5.0,0,0,4.0,1965.0,1.0,1,384,3,3,2,0,0,0,0,0,2,2008,5.0,5,129500,906,2718,2,0,43,43,0
11,60,3,85.0,11924,1,0,2,3,1,2,2,NridgHt,9,5,3,286.0,5,3,5,3,0.0,5.0,0,177,1175,6,5,1,5,1182,1142,0,2324,4,1,5,11,5.0,2,4,3.0,2005.0,3.0,3,736,3,3,2,0,0,0,0,0,7,2006,4.0,0,345000,998,4990,4,0,1,0,168
12,20,3,71.0,12968,1,0,1,3,1,2,2,Sawyer,5,6,2,0.0,3,3,3,3,0.0,4.0,0,175,912,6,3,1,5,912,0,0,912,2,1,3,4,5.0,0,0,4.0,1962.0,1.0,1,352,3,3,2,0,0,0,0,0,9,2008,5.0,5,144000,737,2211,2,0,46,46,316
13,20,3,91.0,10652,1,0,2,3,1,2,2,CollgCr,7,5,3,306.0,4,3,4,3,2.0,0.0,0,1494,1494,6,5,1,5,1494,0,0,1494,3,1,4,7,5.0,1,4,5.0,2006.0,2.0,3,840,3,3,2,0,0,0,0,0,8,2007,4.0,0,279500,0,0,2,0,1,0,193
14,20,3,73.0,10920,1,0,2,3,1,3,2,NAmes,6,5,2,212.0,3,3,3,3,0.0,3.0,0,520,1253,6,3,1,5,1253,0,0,1253,2,1,3,5,5.0,1,2,5.0,1960.0,2.0,1,352,3,3,2,0,0,2,0,0,5,2008,5.0,5,157000,733,2199,2,1,48,48,389
15,45,2,51.0,6120,1,0,3,3,1,3,2,BrkSide,7,8,2,0.0,3,3,3,3,0.0,0.0,0,832,832,6,5,1,4,854,0,0,854,2,1,3,5,5.0,0,0,4.0,1991.0,1.0,2,576,3,3,2,0,0,4,0,0,7,2007,5.0,5,132000,0,0,1,0,78,6,160
16,20,3,73.0,11241,1,0,2,3,1,4,2,NAmes,6,7,2,180.0,3,3,3,3,0.0,4.0,0,426,1004,6,5,1,5,1004,0,0,1004,2,1,3,5,5.0,1,3,5.0,1970.0,3.0,2,480,3,3,2,0,0,0,1,1,3,2010,5.0,5,149000,578,1734,2,0,40,40,0
17,90,3,72.0,10791,1,0,3,3,1,2,2,Sawyer,4,5,2,0.0,3,3,0,0,0.0,0.0,0,0,0,6,3,1,5,1296,0,0,1296,2,2,3,6,5.0,0,0,1.0,1967.0,1.0,2,516,3,3,2,0,0,0,1,1,10,2006,5.0,5,90000,0,0,2,0,39,39,0
18,20,3,66.0,13695,1,0,3,3,1,2,2,SawyerW,5,5,2,0.0,3,3,3,3,0.0,5.0,0,468,1114,6,5,1,5,1114,0,0,1114,3,1,4,6,5.0,0,0,4.0,2004.0,1.0,2,576,3,3,2,0,0,0,0,0,6,2008,5.0,5,159000,646,1938,2,1,4,4,102
19,20,3,70.0,7560,1,0,3,3,1,2,2,NAmes,5,6,2,0.0,3,3,3,3,0.0,1.0,0,525,1029,6,3,1,5,1339,0,0,1339,3,1,3,6,4.0,0,0,5.0,1958.0,1.0,1,294,3,3,2,0,0,3,0,0,5,2009,3.0,4,139000,504,1512,1,0,51,44,0
20,60,3,101.0,14215,1,0,2,3,1,3,2,NridgHt,8,5,2,380.0,4,3,5,3,2.0,0.0,0,1158,1158,6,5,1,5,1158,1218,0,2376,4,1,4,9,5.0,1,4,3.0,2005.0,2.0,3,853,3,3,2,0,0,0,0,0,11,2006,4.0,0,325300,0,0,3,1,1,0,394
21,45,2,57.0,7449,1,1,3,1,1,2,2,IDOTRR,7,7,2,0.0,3,3,3,3,0.0,0.0,0,637,637,6,5,1,3,1108,0,0,1108,3,1,4,6,5.0,1,4,5.0,1930.0,1.0,1,280,3,3,0,0,0,4,0,0,6,2007,5.0,5,139400,0,0,1,0,77,57,205
22,20,3,75.0,9742,1,0,3,3,1,2,2,CollgCr,8,5,2,281.0,4,3,4,3,0.0,0.0,0,1777,1777,6,5,1,5,1795,0,0,1795,3,1,4,7,5.0,1,4,5.0,2002.0,2.0,2,534,3,3,2,0,0,0,0,0,9,2008,5.0,5,230000,0,0,2,0,6,6,330
23,120,2,44.0,4224,1,0,3,3,1,2,2,MeadowV,5,7,2,0.0,3,3,4,3,0.0,5.0,0,200,1040,6,3,1,5,1060,0,0,1060,3,1,3,6,5.0,1,3,5.0,1976.0,1.0,2,572,3,3,2,0,0,0,0,0,6,2007,5.0,5,129900,840,3360,2,0,31,31,210
24,20,3,71.0,8246,1,0,2,3,1,2,2,Sawyer,5,8,2,0.0,3,4,3,3,1.0,2.0,4,204,1060,6,5,1,5,1060,0,0,1060,3,1,4,6,5.0,1,3,5.0,1968.0,1.0,1,270,3,3,2,0,0,3,0,0,5,2010,5.0,5,154000,856,2568,2,0,42,9,496
25,20,3,110.0,14230,1,0,3,3,1,3,2,NridgHt,8,5,3,640.0,4,3,4,3,0.0,0.0,0,1566,1566,6,5,1,5,1600,0,0,1600,3,1,4,7,5.0,1,4,5.0,2007.0,2.0,3,890,3,3,2,0,0,0,0,0,7,2009,5.0,5,256300,0,0,2,0,2,2,56
26,20,3,60.0,7200,1,0,3,3,1,3,2,NAmes,5,7,2,0.0,3,3,3,3,1.0,3.0,1,180,900,6,3,1,5,900,0,0,900,3,1,4,5,5.0,0,0,4.0,2005.0,1.0,2,576,3,3,2,0,0,0,0,0,5,2010,5.0,5,134800,720,2160,1,1,59,10,254
27,20,3,98.0,11478,1,0,3,3,1,2,2,NridgHt,8,5,3,200.0,4,3,5,3,0.0,5.0,0,486,1704,6,5,1,5,1704,0,0,1704,3,1,4,7,5.0,1,4,5.0,2008.0,2.0,3,772,3,3,2,0,0,0,0,0,5,2010,5.0,5,306000,1218,6090,3,0,3,2,50
28,20,3,47.0,16321,1,0,2,3,1,4,2,NAmes,5,6,2,0.0,3,3,3,3,3.0,3.0,0,207,1484,6,3,1,5,1600,0,0,1600,2,1,3,6,5.0,2,4,5.0,1957.0,2.0,1,319,3,3,2,0,0,0,0,0,12,2006,5.0,5,207500,1277,3831,2,0,49,9,546
29,30,2,60.0,6324,1,0,2,3,1,2,2,BrkSide,4,6,2,0.0,3,3,3,3,0.0,0.0,0,520,520,6,2,0,5,520,0,0,520,1,1,2,4,5.0,0,0,4.0,1920.0,1.0,1,240,2,3,2,0,0,0,0,0,5,2008,5.0,5,68500,0,0,1,0,81,58,136
30,70,0,50.0,8500,1,2,3,3,1,2,2,IDOTRR,4,4,2,0.0,3,2,3,3,0.0,0.0,0,649,649,6,3,0,5,649,668,0,1317,3,1,3,6,5.0,0,0,4.0,1920.0,1.0,1,250,3,2,0,0,0,3,0,0,7,2008,5.0,5,40000,0,0,1,0,88,58,226
31,20,3,71.0,8544,1,0,2,3,1,4,2,Sawyer,5,6,2,0.0,3,3,3,3,0.0,0.0,0,1228,1228,6,4,1,5,1228,0,0,1228,3,1,4,6,5.0,0,0,5.0,1966.0,1.0,1,271,3,3,2,0,0,3,0,0,6,2008,5.0,5,149350,0,0,1,1,42,2,65
32,20,3,85.0,11049,1,0,3,3,1,3,2,CollgCr,8,5,2,0.0,4,3,5,3,2.0,0.0,0,1234,1234,6,5,1,5,1234,0,0,1234,3,1,4,7,5.0,0,0,5.0,2007.0,2.0,2,484,3,3,2,0,0,0,0,0,1,2008,5.0,5,179900,0,0,2,0,1,1,30
33,20,3,70.0,10552,1,0,2,3,1,2,2,NAmes,5,5,2,0.0,3,3,3,3,0.0,2.0,0,380,1398,6,4,1,5,1700,0,0,1700,4,1,4,6,5.0,1,4,5.0,1959.0,2.0,2,447,3,3,2,0,0,0,0,0,4,2010,5.0,5,165500,1018,3054,1,2,51,51,38
34,120,3,60.0,7313,1,0,3,3,1,2,2,NridgHt,9,5,2,246.0,5,3,5,3,0.0,5.0,0,408,1561,6,5,1,5,1561,0,0,1561,2,1,5,6,5.0,1,4,5.0,2005.0,3.0,2,556,3,3,2,0,0,0,0,0,8,2007,5.0,5,277500,1153,5765,3,0,2,2,250
35,60,3,108.0,13418,1,0,3,3,1,2,2,NridgHt,8,5,3,132.0,4,3,5,3,2.0,0.0,0,1117,1117,6,5,1,5,1132,1320,0,2452,4,1,4,9,5.0,1,4,3.0,2004.0,3.0,3,691,3,3,2,0,0,0,0,0,9,2006,5.0,5,309000,0,0,3,1,2,1,145
36,20,3,112.0,10859,1,0,3,3,1,3,2,CollgCr,5,5,2,0.0,3,3,4,3,0.0,0.0,0,1097,1097,6,5,1,5,1097,0,0,1097,3,1,3,6,5.0,0,0,5.0,1995.0,1.0,2,672,3,3,2,0,0,0,0,0,6,2009,5.0,5,145000,0,0,1,1,15,14,456
37,20,3,74.0,8532,1,0,3,3,1,2,2,NAmes,5,6,2,650.0,3,3,3,3,0.0,2.0,0,84,1297,6,4,1,5,1297,0,0,1297,3,1,3,5,5.0,1,3,5.0,1954.0,3.0,2,498,3,3,2,0,0,0,0,0,10,2009,5.0,5,153000,1213,3639,1,1,55,19,0
38,20,3,68.0,7922,1,0,3,3,1,2,2,NAmes,5,7,2,0.0,3,4,3,3,0.0,5.0,0,326,1057,6,3,1,5,1057,0,0,1057,3,1,4,5,5.0,0,0,4.0,1953.0,1.0,1,246,3,3,2,0,0,0,0,0,1,2010,5.0,4,109000,731,2193,2,0,57,3,52
39,90,3,65.0,6040,1,0,3,3,1,2,2,Edwards,4,5,2,0.0,3,3,0,0,0.0,0.0,0,0,0,6,3,0,2,1152,0,0,1152,2,2,2,6,5.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,2008,5.0,3,82000,0,0,2,0,53,53,0
40,20,3,84.0,8658,1,0,3,3,1,2,2,NAmes,6,5,2,101.0,3,3,3,3,0.0,2.0,0,445,1088,6,5,1,5,1324,0,0,1324,3,1,3,6,5.0,1,3,5.0,1965.0,2.0,2,440,3,3,2,0,0,2,0,0,12,2006,5.0,4,160000,643,1929,2,0,41,41,138
41,20,3,115.0,16905,1,0,3,3,1,2,2,Timber,5,6,2,0.0,3,4,3,3,3.0,3.0,0,383,1350,6,4,1,5,1328,0,0,1328,2,1,3,5,5.0,2,4,5.0,1959.0,2.0,1,308,3,3,1,0,0,0,0,0,7,2007,5.0,5,170000,967,2901,1,2,48,48,104
42,85,3,66.5,9180,1,0,2,3,1,4,2,SawyerW,5,7,2,0.0,3,3,4,3,2.0,4.0,2,0,840,6,4,1,5,884,0,0,884,2,1,4,5,5.0,0,0,5.0,1983.0,2.0,2,504,3,4,2,0,0,3,0,0,12,2007,5.0,5,144000,840,3360,2,0,24,24,240
43,20,3,70.0,9200,1,0,2,3,1,4,2,CollgCr,5,6,2,0.0,3,3,4,3,2.0,1.0,3,167,938,6,3,1,5,938,0,0,938,3,1,3,5,5.0,0,0,4.0,1977.0,1.0,1,308,3,3,2,0,0,3,0,0,7,2008,5.0,5,130250,771,3084,2,0,33,28,145
44,20,3,70.0,7945,1,0,3,3,1,2,2,NAmes,5,6,2,0.0,3,3,3,3,0.0,4.0,3,465,1150,6,5,1,4,1150,0,0,1150,3,1,3,6,5.0,0,0,5.0,1959.0,2.0,1,300,3,3,2,0,0,0,0,0,5,2006,5.0,5,141000,685,2055,2,0,47,47,0
45,120,3,61.0,7658,1,0,3,3,1,2,2,NridgHt,9,5,2,412.0,5,3,5,3,0.0,5.0,0,1296,1752,6,5,1,5,1752,0,0,1752,2,1,5,6,5.0,1,4,5.0,2005.0,2.0,2,576,3,3,2,0,0,0,0,0,2,2010,5.0,5,319900,456,2280,3,0,5,5,278
46,50,3,48.0,12822,1,0,2,3,1,4,2,Mitchel,7,5,2,0.0,4,3,5,3,0.0,5.0,0,83,1434,6,5,1,5,1518,631,0,2149,1,1,4,6,5.0,1,5,5.0,2003.0,2.0,2,670,3,3,2,0,0,0,0,0,8,2009,5.0,4,239686,1351,6755,2,1,6,6,409
47,20,4,84.0,11096,1,0,3,3,1,2,2,Somerst,8,5,2,0.0,4,3,4,3,2.0,5.0,0,1632,1656,6,5,1,5,1656,0,0,1656,3,1,4,7,5.0,0,0,5.0,2006.0,2.0,3,826,3,3,2,0,0,0,0,0,7,2007,5.0,5,249700,24,96,2,0,1,1,146
48,190,2,33.0,4456,1,0,3,3,1,2,2,OldTown,4,5,2,0.0,3,3,3,3,0.0,0.0,0,736,736,6,4,1,5,736,716,0,1452,2,3,3,8,5.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6,2009,4.0,0,113000,0,0,2,0,89,1,102
49,20,3,66.0,7742,1,0,3,3,1,2,2,Sawyer,5,7,2,0.0,3,3,3,3,0.0,3.0,0,192,955,6,5,1,5,955,0,0,955,3,1,3,6,5.0,0,0,5.0,1966.0,1.0,1,386,3,3,2,0,0,3,0,0,1,2007,5.0,5,127000,763,2289,2,0,41,41,0
50,60,3,65.0,13869,1,0,1,3,1,3,2,Gilbert,6,6,2,0.0,3,3,4,3,2.0,5.0,0,612,794,6,4,1,5,794,676,0,1470,3,1,3,6,5.0,0,0,5.0,1997.0,3.0,2,388,3,3,2,0,0,0,0,0,7,2007,5.0,5,177000,182,728,2,1,10,10,75
51,50,2,52.0,6240,1,0,3,3,1,2,2,BrkSide,6,6,2,0.0,3,3,3,3,0.0,0.0,0,816,816,6,3,1,5,816,0,360,1176,3,1,3,6,5.0,1,4,4.0,1985.0,1.0,2,528,3,3,2,0,0,3,1,1,9,2006,5.0,5,114500,0,0,1,0,72,56,112
52,90,2,110.0,8472,0,0,1,1,1,3,1,IDOTRR,5,5,2,0.0,2,3,4,3,3.0,1.0,5,0,816,6,3,0,5,816,0,0,816,2,1,3,5,5.0,0,0,1.0,1963.0,1.0,2,516,3,3,2,0,0,0,0,0,5,2010,5.0,5,110000,816,3264,2,0,47,47,106
53,20,3,68.0,50271,1,0,2,0,1,2,2,Veenker,9,5,2,0.0,4,3,5,3,3.0,5.0,0,32,1842,6,4,1,5,1842,0,0,1842,0,1,4,5,5.0,1,4,5.0,1981.0,3.0,3,894,3,3,2,0,0,0,0,0,11,2006,5.0,5,385000,1810,9050,2,1,25,19,929
54,80,3,60.0,7134,1,0,3,1,1,2,1,NAmes,5,5,2,0.0,3,3,3,3,0.0,4.0,0,0,384,6,3,1,5,1360,0,0,1360,3,1,3,6,4.0,1,3,4.0,1962.0,1.0,2,572,3,3,2,0,0,3,0,0,2,2007,5.0,5,130000,384,1152,1,0,52,52,50
55,20,3,100.0,10175,1,0,2,3,1,2,2,NAmes,6,5,2,272.0,3,3,3,3,0.0,3.0,0,935,1425,6,4,1,5,1425,0,0,1425,3,1,3,7,5.0,1,4,5.0,1964.0,2.0,2,576,3,3,2,0,0,0,0,0,7,2008,5.0,5,180500,490,1470,2,0,44,44,407
56,160,4,24.0,2645,1,2,3,3,1,2,2,Somerst,8,5,2,456.0,4,3,4,3,0.0,5.0,0,321,970,6,5,1,5,983,756,0,1739,3,1,4,7,5.0,0,0,5.0,1999.0,3.0,2,480,3,3,2,0,0,0,0,0,8,2009,5.0,4,172500,649,2596,3,1,10,9,115
57,60,3,89.0,11645,1,0,2,3,1,3,2,CollgCr,7,5,2,0.0,4,3,4,3,0.0,0.0,0,860,860,6,5,1,5,860,860,0,1720,3,1,4,7,5.0,0,0,5.0,2004.0,2.0,2,565,3,3,2,0,0,0,0,0,8,2006,5.0,5,196500,0,0,2,1,2,2,70
58,60,3,66.0,13682,1,0,1,2,1,4,2,StoneBr,10,5,2,1031.0,5,3,5,3,3.0,0.0,0,1410,1410,6,5,1,5,1426,1519,0,2945,3,1,4,10,5.0,1,4,3.0,2006.0,3.0,3,641,3,3,2,0,0,0,0,0,10,2006,4.0,0,438780,0,0,3,1,0,0,229
59,20,3,60.0,7200,1,0,3,1,1,2,2,CollgCr,5,7,2,0.0,3,3,3,3,2.0,4.0,0,148,780,6,5,1,5,780,0,0,780,2,1,3,4,5.0,0,0,4.0,1973.0,1.0,1,352,3,3,2,0,0,3,0,0,1,2008,5.0,5,124900,632,1896,1,0,36,36,196
60,20,3,63.0,13072,1,0,3,3,1,2,2,SawyerW,6,5,2,0.0,3,3,4,3,0.0,4.0,0,217,1158,6,5,1,5,1158,0,0,1158,3,1,4,5,5.0,0,0,4.0,2006.0,1.0,2,576,3,3,2,0,0,0,0,0,5,2006,4.0,0,158000,941,3764,2,1,2,2,50
61,75,2,60.0,7200,1,0,3,3,1,2,2,IDOTRR,5,7,2,0.0,3,3,3,2,0.0,0.0,0,530,530,6,3,0,5,581,530,0,1111,3,1,2,6,5.0,0,0,4.0,1935.0,1.0,1,288,3,3,0,0,0,0,0,0,3,2007,5.0,5,101000,0,0,1,0,87,11,144
62,120,3,44.0,6442,1,0,2,3,1,2,2,NridgHt,8,5,3,178.0,4,3,4,4,1.0,5.0,0,1346,1370,6,5,1,5,1370,0,0,1370,2,1,4,6,5.0,1,4,5.0,2006.0,2.0,2,484,3,3,2,0,0,0,0,0,10,2007,5.0,5,202500,24,96,2,0,1,1,169
63,70,2,50.0,10300,1,0,2,1,1,2,2,OldTown,7,6,2,0.0,3,3,3,3,0.0,0.0,0,576,576,6,4,1,5,902,808,0,1710,3,1,3,9,5.0,0,0,4.0,1990.0,1.0,2,480,3,3,2,0,0,4,0,0,4,2010,5.0,5,140000,0,0,2,0,89,60,87
64,60,3,70.0,9375,1,0,3,3,1,2,2,CollgCr,7,5,2,573.0,3,3,4,3,0.0,5.0,0,318,1057,6,5,1,5,1057,977,0,2034,3,1,4,8,5.0,0,0,5.0,1998.0,2.0,2,645,3,3,2,0,0,4,0,0,2,2009,5.0,5,219500,739,2956,3,1,12,11,612
65,60,3,76.0,9591,1,0,3,3,1,2,2,NridgHt,8,5,2,344.0,4,3,5,3,2.0,0.0,0,1143,1143,6,5,1,5,1143,1330,0,2473,4,1,4,9,5.0,1,4,3.0,2004.0,2.0,3,852,3,3,2,0,0,0,0,0,10,2007,5.0,5,317000,0,0,2,1,3,2,343
66,20,3,73.0,19900,1,0,3,3,1,2,2,NAmes,7,5,2,287.0,3,3,4,3,3.0,5.0,0,1035,1947,6,3,1,5,2207,0,0,2207,3,1,3,7,4.0,1,4,5.0,1970.0,2.0,2,576,3,3,2,0,0,0,0,0,7,2010,5.0,5,180000,912,3648,3,0,40,21,301
67,20,3,72.0,10665,1,0,2,3,1,2,2,CollgCr,7,5,2,167.0,4,3,4,3,2.0,5.0,0,440,1453,6,5,1,5,1479,0,0,1479,3,1,4,7,5.0,0,0,5.0,2003.0,2.0,2,558,3,3,2,0,0,0,0,0,6,2007,5.0,5,226000,1013,4052,3,0,4,4,173
68,30,2,47.0,4608,1,0,3,3,1,3,2,OldTown,4,6,2,0.0,3,4,3,3,0.0,0.0,0,747,747,6,3,1,5,747,0,0,747,2,1,3,4,5.0,0,0,5.0,1945.0,1.0,1,220,3,3,2,0,0,0,0,0,6,2010,5.0,5,80000,0,0,1,0,65,60,0
69,50,3,81.0,15593,1,0,3,3,1,3,2,ClearCr,7,4,2,0.0,4,3,3,3,0.0,3.0,0,701,1304,5,3,1,5,1304,983,0,2287,3,1,3,7,5.0,1,3,5.0,1953.0,3.0,2,667,3,3,2,0,0,0,0,0,7,2006,5.0,5,225000,603,1809,2,0,53,53,135
70,20,3,95.0,13651,1,0,2,3,1,2,2,NAmes,7,6,2,1115.0,3,4,4,3,3.0,4.0,0,343,2223,6,5,1,5,2223,0,0,2223,3,1,3,8,5.0,2,4,5.0,1973.0,3.0,2,516,3,3,2,0,0,0,0,0,2,2007,5.0,5,244000,1880,7520,3,0,34,34,300
71,20,3,69.0,7599,1,0,3,3,1,3,2,Mitchel,4,6,2,0.0,3,3,3,3,0.0,4.0,0,280,845,6,3,1,5,845,0,0,845,2,1,3,4,5.0,0,0,4.0,1987.0,1.0,2,360,3,3,2,0,0,0,0,0,6,2007,5.0,5,129500,565,1695,2,0,25,1,0
72,60,3,74.0,10141,1,0,2,3,1,3,2,Gilbert,7,5,2,40.0,3,3,4,3,0.0,0.0,0,832,832,6,4,1,5,885,833,0,1718,3,1,3,7,5.0,1,3,5.0,1998.0,3.0,2,427,3,3,2,0,0,0,0,0,12,2009,5.0,5,185000,0,0,2,1,11,11,385
73,20,3,85.0,10200,1,0,3,3,1,2,2,NAmes,5,7,2,104.0,3,3,3,3,0.0,4.0,3,404,1086,6,4,1,5,1086,0,0,1086,3,1,3,6,5.0,0,0,5.0,1989.0,1.0,2,490,3,3,2,0,0,2,0,0,5,2010,5.0,5,144900,682,2046,2,0,56,7,0
74,50,2,60.0,5790,1,0,3,3,1,3,2,OldTown,3,6,2,0.0,4,4,2,3,0.0,0.0,0,840,840,6,4,0,5,840,765,0,1605,3,2,3,8,5.0,0,0,4.0,1915.0,1.0,1,379,3,3,2,0,0,0,0,0,5,2010,5.0,5,107400,0,0,2,0,95,60,202
75,180,2,21.0,1596,1,0,3,3,1,2,2,MeadowV,4,5,2,0.0,3,3,4,3,3.0,5.0,0,0,462,6,3,1,5,526,462,0,988,2,1,3,5,5.0,0,0,3.0,1973.0,1.0,1,297,3,3,2,0,0,2,0,0,11,2009,5.0,5,91000,462,1848,2,0,36,36,221
76,20,3,73.0,8475,1,0,2,3,1,2,2,NAmes,4,7,2,0.0,3,3,3,3,0.0,4.0,0,724,952,6,5,1,4,952,0,0,952,2,1,3,4,5.0,0,0,4.0,1956.0,1.0,1,283,3,3,2,0,0,0,0,0,4,2008,5.0,5,135750,228,684,1,0,52,52,0
77,50,2,50.0,8635,1,0,3,3,1,2,2,BrkSide,5,5,2,0.0,3,3,3,3,0.0,3.0,5,295,672,6,3,1,5,1072,213,0,1285,2,1,3,6,4.0,0,0,4.0,1948.0,1.0,1,240,3,3,2,0,0,3,0,0,1,2008,5.0,5,127000,377,1131,2,0,60,7,0
78,90,3,72.0,10778,1,0,3,3,1,2,2,Sawyer,4,5,2,0.0,3,3,3,3,0.0,0.0,0,1768,1768,6,3,0,5,1768,0,0,1768,4,2,3,8,5.0,0,0,0.0,0.0,0.0,0,0,0,0,2,0,0,0,0,0,4,2010,5.0,5,136500,0,0,2,0,42,42,0
79,50,2,60.0,10440,1,1,3,3,1,3,2,OldTown,5,6,2,0.0,3,3,3,3,0.0,0.0,0,440,440,6,4,1,5,682,548,0,1230,2,1,3,5,5.0,0,0,4.0,1966.0,1.0,2,440,3,3,2,0,0,3,0,0,5,2009,5.0,5,110000,0,0,1,1,99,28,202
80,60,3,100.0,13000,1,0,3,3,1,3,2,NAmes,6,6,2,576.0,3,4,4,3,0.0,2.0,0,448,896,6,3,1,5,1182,960,0,2142,4,1,4,8,5.0,1,4,5.0,1968.0,3.0,1,509,3,3,2,0,0,0,0,0,6,2009,5.0,5,193500,448,1792,2,1,41,41,324
